Quarter,Minute,Second,Down,ToGo,SeriesFirstDown,Yards,Formation,PlayType,PassType,RushDirection,YardLineFixed,YardLineDirection
4,1,40,3,9,0,0,SHOTGUN,PASS,SHORT LEFT,,9,OPP
4,1,47,2,9,0,0,SHOTGUN,PASS,SHORT LEFT,,9,OPP
4,1,51,1,9,0,0,SHOTGUN,PASS,SHORT RIGHT,,9,OPP
4,1,57,2,2,0,0,SHOTGUN,PASS,SHORT RIGHT,,14,OPP
4,2,3,1,10,0,8,SHOTGUN,PASS,SHORT RIGHT,,22,OPP
4,2,15,3,6,1,10,SHOTGUN,PASS,SHORT RIGHT,,32,OPP
4,2,20,2,6,0,0,SHOTGUN,PASS,SHORT RIGHT,,32,OPP
4,2,25,1,10,0,4,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,36,OPP
4,2,43,2,4,1,9,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,45,OPP
3,1,4,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,1,8,1,1,1,1,UNDER CENTER,RUSH,,LEFT TACKLE,1,OPP
3,1,55,1,10,1,18,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,19,OPP
2,8,35,1,2,0,0,SHOTGUN,PASS,SHORT LEFT,,2,OPP
2,9,20,3,2,1,3,SHOTGUN,PASS,SHORT RIGHT,,5,OPP
2,9,43,2,7,0,5,SHOTGUN,PASS,SHORT MIDDLE,,10,OPP
2,10,24,1,10,0,3,SHOTGUN,RUSH,,LEFT TACKLE,13,OPP
2,11,7,2,2,1,2,UNDER CENTER,RUSH,,CENTER,15,OPP
2,11,36,1,5,0,3,UNDER CENTER,RUSH,,CENTER,18,OPP
2,11,49,1,10,0,1,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,23,OPP
2,12,21,2,5,1,10,SHOTGUN,PASS,SHORT MIDDLE,,33,OPP
2,12,55,1,10,0,5,UNDER CENTER,RUSH,,CENTER,38,OPP
2,13,16,2,4,0,3,SHOTGUN,RUSH,,CENTER,43,OPP
2,13,53,1,10,0,6,NO HUDDLE SHOTGUN,RUSH,,RIGHT TACKLE,49,OPP
2,14,34,4,1,1,1,UNDER CENTER,RUSH,,CENTER,50,OPP
2,15,0,3,1,0,0,UNDER CENTER,RUSH,,LEFT GUARD,50,OPP
4,4,2,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,4,8,2,6,0,6,SHOTGUN,PASS,SHORT MIDDLE,,6,OPP
4,4,50,1,5,0,-1,UNDER CENTER,RUSH,,CENTER,5,OPP
4,5,33,2,3,1,3,SHOTGUN,RUSH,,CENTER,8,OPP
4,6,5,1,10,0,7,SHOTGUN,RUSH,,LEFT GUARD,15,OPP
4,6,50,2,7,1,10,SHOTGUN,PASS,SHORT MIDDLE,,25,OPP
4,7,30,1,10,0,3,UNDER CENTER,RUSH,,CENTER,28,OPP
4,7,34,1,10,0,0,SHOTGUN,PASS,SHORT MIDDLE,,36,OPP
3,0,28,4,5,0,0,FIELD GOAL,FIELD GOAL,,,9,OPP
3,1,7,3,12,0,7,SHOTGUN,PASS,SHORT MIDDLE,,16,OPP
3,1,25,3,6,0,0,SHOTGUN,NO PLAY,,,10,OPP
3,2,13,2,2,0,-4,UNDER CENTER,RUSH,,CENTER,6,OPP
3,2,47,1,10,0,8,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,14,OPP
3,3,22,1,10,1,24,NO HUDDLE SHOTGUN,RUSH,,RIGHT TACKLE,38,OPP
1,12,5,2,10,1,59,UNDER CENTER,PASS,DEEP LEFT,,33,OPP
1,12,10,1,10,0,0,SHOTGUN,PASS,SHORT LEFT,,33,OPP
1,12,53,1,10,1,12,UNDER CENTER,RUSH,,RIGHT END,45,OPP
2,11,21,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,11,47,1,10,0,9,UNDER CENTER,RUSH,,LEFT END,49,OPP
1,2,34,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,2,38,4,2,1,2,SHOTGUN,PASS,SHORT MIDDLE,,2,OPP
1,2,40,3,2,0,0,SHOTGUN,PASS,SHORT LEFT,,2,OPP
1,3,23,2,3,0,1,UNDER CENTER,RUSH,,CENTER,3,OPP
1,3,27,1,3,0,0,NO HUDDLE,PASS,SHORT LEFT,,3,OPP
1,4,10,2,11,1,47,UNDER CENTER,PASS,DEEP LEFT,,50,OPP
1,4,50,1,10,0,-1,SHOTGUN,PASS,SHORT LEFT,,49,OPP
1,12,8,2,8,0,0,UNDER CENTER,FUMBLES,,,27,OPP
1,12,42,1,10,0,2,UNDER CENTER,PASS,SHORT LEFT,,29,OPP
1,13,21,2,10,1,10,UNDER CENTER,RUSH,,CENTER,39,OPP
4,0,8,4,1,0,0,UNDER CENTER,PASS,SHORT LEFT,,1,OPP
4,0,25,3,14,0,13,SHOTGUN,PASS,SHORT MIDDLE,,14,OPP
4,0,30,2,4,0,-10,SHOTGUN,SACK,,,4,OPP
4,0,50,1,8,0,4,SHOTGUN,SCRAMBLE,,,8,OPP
4,0,54,1,10,0,0,NO HUDDLE SHOTGUN,PASS,DEEP LEFT,,34,OPP
4,5,16,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,5,22,1,10,1,26,SHOTGUN,PASS,DEEP LEFT,,26,OPP
4,5,54,2,3,1,4,UNDER CENTER,RUSH,,RIGHT END,30,OPP
4,6,30,1,10,0,7,SHOTGUN,RUSH,,LEFT END,37,OPP
4,11,42,4,10,0,0,PUNT,PUNT,,,39,OPP
4,11,47,3,10,0,0,SHOTGUN,PASS,SHORT MIDDLE,,39,OPP
4,12,30,2,12,0,2,UNDER CENTER,RUSH,,LEFT GUARD,41,OPP
4,13,5,1,10,0,-2,UNDER CENTER,RUSH,,LEFT END,39,OPP
3,4,47,4,5,0,0,FIELD GOAL,FIELD GOAL,,,5,OPP
3,4,52,3,5,0,0,SHOTGUN,PASS,SHORT RIGHT,,5,OPP
3,5,36,2,8,0,3,UNDER CENTER,PASS,SHORT MIDDLE,,8,OPP
3,6,14,1,8,0,0,UNDER CENTER,RUSH,,RIGHT END,8,OPP
3,6,46,2,2,1,11,UNDER CENTER,RUSH,,CENTER,19,OPP
3,7,22,1,10,0,8,UNDER CENTER,PASS,SHORT RIGHT,,27,OPP
3,7,57,2,2,1,13,UNDER CENTER,RUSH,,CENTER,40,OPP
3,8,31,1,10,0,8,UNDER CENTER,RUSH,,CENTER,48,OPP
2,0,45,3,10,0,-13,SHOTGUN,SACK,,,47,OPP
2,0,48,2,10,0,0,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,47,OPP
2,0,52,1,10,0,0,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,47,OPP
2,6,31,1,10,0,0,SHOTGUN,PASS,DEEP LEFT,,20,OPP
2,6,56,1,10,0,-2,UNDER CENTER,RUSH,,RIGHT GUARD,30,OPP
2,7,34,1,5,1,17,UNDER CENTER,PASS,DEEP LEFT,,47,OPP
4,0,36,3,12,0,0,UNDER CENTER,QB KNEEL,,,44,OPP
4,1,18,2,11,0,0,UNDER CENTER,QB KNEEL,,,43,OPP
4,2,0,1,10,0,0,UNDER CENTER,QB KNEEL,,,42,OPP
4,6,26,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,6,34,1,9,1,9,SHOTGUN,PASS,SHORT RIGHT,,9,OPP
4,7,1,1,10,0,10,SHOTGUN,SCRAMBLE,,,24,OPP
4,7,30,2,1,1,3,SHOTGUN,PASS,SHORT LEFT,,27,OPP
4,8,16,1,10,0,9,SHOTGUN,RUSH,,CENTER,36,OPP
4,8,46,3,7,1,10,SHOTGUN,RUSH,,LEFT TACKLE,46,OPP
4,9,29,2,5,0,-2,SHOTGUN,RUSH,,CENTER,44,OPP
4,10,5,1,10,0,5,SHOTGUN,RUSH,,CENTER,49,OPP
3,10,33,4,21,0,0,FIELD GOAL,FIELD GOAL,,,22,OPP
3,11,19,3,11,0,-10,SHOTGUN,SACK,,,12,OPP
3,11,25,2,11,0,0,SHOTGUN,PASS,SHORT RIGHT,,12,OPP
3,12,6,1,10,0,-1,SHOTGUN,RUSH,,RIGHT GUARD,11,OPP
2,1,7,4,9,0,0,FIELD GOAL,FIELD GOAL,,,15,OPP
2,1,16,3,16,0,7,SHOTGUN,PASS,SHORT MIDDLE,,22,OPP
2,1,19,2,16,0,0,SHOTGUN,PASS,SHORT RIGHT,,22,OPP
2,2,0,1,10,0,-6,SHOTGUN,RUSH,,RIGHT GUARD,16,OPP
2,2,10,3,10,1,13,SHOTGUN,PASS,SHORT MIDDLE,,29,OPP
2,2,16,2,10,0,0,SHOTGUN,PASS,DEEP MIDDLE,,29,OPP
2,2,21,1,10,0,0,UNDER CENTER,PASS,SHORT LEFT,,29,OPP
2,2,47,2,7,1,9,SHOTGUN,PASS,SHORT LEFT,,38,OPP
2,3,46,2,2,0,0,SHOTGUN,NO PLAY,,,33,OPP
2,3,46,1,10,0,8,UNDER CENTER,PASS,SHORT LEFT,,41,OPP
1,1,51,2,4,0,0,UNDER CENTER,PASS,SHORT RIGHT,,12,OPP
1,2,11,1,10,0,6,UNDER CENTER,RUSH,,CENTER,18,OPP
4,6,28,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,2,6,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,2,12,1,3,1,3,SHOTGUN,PASS,SHORT LEFT,,3,OPP
3,2,58,1,10,1,26,SHOTGUN,PASS,DEEP LEFT,,29,OPP
3,3,42,2,2,1,4,SHOTGUN,RUSH,,LEFT GUARD,33,OPP
3,4,30,1,10,0,8,SHOTGUN,PASS,SHORT LEFT,,41,OPP
3,12,4,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,12,9,2,3,1,3,SHOTGUN,SCRAMBLE,,,3,OPP
3,12,38,1,7,1,7,UNDER CENTER,PASS,SHORT RIGHT,,7,OPP
3,13,23,2,6,1,8,SHOTGUN,PASS,SHORT RIGHT,,15,OPP
3,14,6,1,10,0,4,SHOTGUN,PASS,SHORT RIGHT,,19,OPP
2,0,12,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,0,20,2,3,1,37,SHOTGUN,PASS,DEEP RIGHT,,37,OPP
2,0,24,1,10,0,7,SHOTGUN,PASS,SHORT RIGHT,,44,OPP
2,3,27,0,0,0,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,3,30,2,2,1,2,SHOTGUN,PASS,SHORT RIGHT,,2,OPP
2,4,8,1,3,0,1,SHOTGUN,PASS,SHORT MIDDLE,,3,OPP
2,4,14,2,6,0,0,SHOTGUN,PASS,DEEP LEFT,,25,OPP
2,4,33,2,1,0,0,SHOTGUN,NO PLAY,,,20,OPP
2,5,12,1,10,0,9,SHOTGUN,PASS,SHORT MIDDLE,,29,OPP
2,5,55,3,1,1,2,UNDER CENTER,RUSH,,CENTER,31,OPP
2,6,38,2,5,0,4,SHOTGUN,RUSH,,CENTER,35,OPP
2,7,20,1,10,0,5,SHOTGUN,RUSH,,LEFT GUARD,40,OPP
1,9,42,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,9,47,1,10,1,21,SHOTGUN,PASS,DEEP RIGHT,,21,OPP
1,10,20,3,7,0,29,SHOTGUN,PASS,DEEP RIGHT,,50,OPP
1,10,23,2,7,0,0,SHOTGUN,PASS,SHORT MIDDLE,,50,OPP
3,1,16,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,1,22,1,10,0,16,SHOTGUN,PASS,DEEP RIGHT,,16,OPP
3,1,41,1,10,0,10,UNDER CENTER,PASS,SHORT RIGHT,,16,OPP
3,13,19,1,10,0,0,SHOTGUN,PASS,SHORT LEFT,,14,OPP
1,5,9,4,8,0,0,PUNT,PUNT,,,49,OPP
1,6,52,2,5,0,3,UNDER CENTER,RUSH,,RIGHT GUARD,46,OPP
3,3,56,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,4,3,2,4,1,4,SHOTGUN,PASS,SHORT RIGHT,,4,OPP
3,4,40,1,9,0,5,UNDER CENTER,RUSH,,LEFT END,9,OPP
3,5,26,3,2,1,32,NO HUDDLE SHOTGUN,PASS,DEEP RIGHT,,41,OPP
3,6,43,1,10,0,4,SHOTGUN,PASS,SHORT RIGHT,,49,OPP
3,12,43,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,12,48,2,1,1,1,NO HUDDLE SHOTGUN,RUSH,,LEFT GUARD,1,OPP
3,13,12,1,5,0,4,UNDER CENTER,RUSH,,RIGHT GUARD,5,OPP
4,1,22,2,10,0,3,SHOTGUN,PASS,DEEP RIGHT,,47,OPP
4,1,30,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,47,OPP
4,1,10,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,1,19,4,6,1,48,SHOTGUN,PASS,DEEP RIGHT,,48,OPP
4,1,23,3,6,0,0,SHOTGUN,PASS,SHORT RIGHT,,48,OPP
4,1,29,2,6,0,0,NO HUDDLE SHOTGUN,PASS,SHORT MIDDLE,,48,OPP
4,5,27,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,5,32,3,4,1,4,SHOTGUN,PASS,SHORT RIGHT,,4,OPP
4,5,36,2,4,0,0,SHOTGUN,PASS,SHORT RIGHT,,4,OPP
4,5,39,1,4,0,0,SHOTGUN,PASS,SHORT LEFT,,4,OPP
4,5,45,1,9,0,0,SHOTGUN,PASS,SHORT RIGHT,,9,OPP
4,6,3,2,2,0,1,SHOTGUN,SCRAMBLE,,,20,OPP
4,6,25,1,10,0,8,NO HUDDLE SHOTGUN,SCRAMBLE,,,28,OPP
4,6,56,1,10,1,11,NO HUDDLE SHOTGUN,PASS,SHORT MIDDLE,,39,OPP
2,0,37,4,9,0,0,FIELD GOAL,FIELD GOAL,,,39,OPP
2,0,41,3,9,0,0,SHOTGUN,PASS,DEEP LEFT,,39,OPP
2,0,48,3,4,0,7,SHOTGUN,PASS,SHORT RIGHT,,34,OPP
2,0,52,2,4,0,0,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,34,OPP
2,1,16,1,5,0,1,SHOTGUN,PASS,SHORT RIGHT,,35,OPP
2,1,27,4,3,0,6,SHOTGUN,PASS,SHORT RIGHT,,46,OPP
2,10,15,1,10,0,6,UNDER CENTER,RUSH,,RIGHT END,19,OPP
2,10,36,1,10,0,5,UNDER CENTER,RUSH,,RIGHT GUARD,19,OPP
2,11,13,1,10,1,14,UNDER CENTER,RUSH,,RIGHT END,33,OPP
2,4,13,1,10,0,0,SHOTGUN,PASS,DEEP RIGHT,,21,OPP
2,4,51,3,1,1,8,NO HUDDLE SHOTGUN,PASS,SHORT LEFT,,29,OPP
2,5,13,2,7,0,6,UNDER CENTER,RUSH,,CENTER,35,OPP
2,5,55,1,10,0,3,UNDER CENTER,RUSH,,LEFT END,38,OPP
2,7,37,4,8,0,0,FIELD GOAL,FIELD GOAL,,,8,OPP
2,8,18,3,10,0,2,SHOTGUN,PASS,SHORT LEFT,,10,OPP
2,9,1,2,6,0,-4,UNDER CENTER,RUSH,,LEFT GUARD,6,OPP
2,9,40,1,8,0,2,SHOTGUN,PASS,SHORT RIGHT,,8,OPP
2,9,58,2,4,0,2,UNDER CENTER,RUSH,,LEFT END,13,OPP
1,5,22,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,5,28,2,5,1,5,SHOTGUN,PASS,SHORT LEFT,,5,OPP
1,6,5,1,4,0,-1,SHOTGUN,RUSH,,CENTER,4,OPP
1,6,36,1,10,1,18,UNDER CENTER,RUSH,,RIGHT END,22,OPP
3,7,28,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,7,32,2,4,1,10,UNDER CENTER,RUSH,,CENTER,10,OPP
3,8,8,1,10,0,6,UNDER CENTER,RUSH,,LEFT END,16,OPP
3,8,46,2,15,1,15,UNDER CENTER,RUSH,,RIGHT GUARD,31,OPP
3,9,15,1,20,0,5,UNDER CENTER,PASS,SHORT RIGHT,,36,OPP
3,9,32,1,10,0,17,UNDER CENTER,RUSH,,LEFT END,26,OPP
2,11,6,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,11,9,3,1,1,1,NO HUDDLE,RUSH,,RIGHT END,1,OPP
2,11,46,2,5,0,4,SHOTGUN,RUSH,,CENTER,5,OPP
2,12,26,1,10,0,5,UNDER CENTER,RUSH,,RIGHT END,10,OPP
2,12,55,3,2,1,12,UNDER CENTER,PASS,SHORT LEFT,,22,OPP
2,13,32,2,7,0,5,UNDER CENTER,RUSH,,CENTER,27,OPP
2,14,13,1,10,0,3,UNDER CENTER,RUSH,,LEFT GUARD,30,OPP
2,14,55,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,15,0,2,1,1,1,UNDER CENTER,RUSH,,RIGHT END,1,OPP
1,0,22,1,2,0,1,UNDER CENTER,RUSH,,CENTER,2,OPP
1,1,2,2,9,1,11,UNDER CENTER,PASS,SHORT LEFT,,13,OPP
1,1,39,1,10,0,1,UNDER CENTER,RUSH,,LEFT END,14,OPP
1,2,11,2,8,1,10,UNDER CENTER,SCRAMBLE,,,24,OPP
1,2,47,1,10,0,2,UNDER CENTER,RUSH,,LEFT TACKLE,26,OPP
1,3,7,3,2,0,5,UNDER CENTER,PASS,SHORT RIGHT,,46,OPP
4,3,49,4,4,0,0,FIELD GOAL,FIELD GOAL,,,6,OPP
4,4,38,3,6,0,2,UNDER CENTER,RUSH,,RIGHT END,8,OPP
4,5,24,2,8,0,2,UNDER CENTER,RUSH,,RIGHT GUARD,10,OPP
4,6,11,1,10,0,2,UNDER CENTER,RUSH,,LEFT END,12,OPP
4,6,59,2,8,1,24,UNDER CENTER,RUSH,,LEFT END,36,OPP
4,7,43,1,10,0,2,UNDER CENTER,RUSH,,RIGHT END,38,OPP
4,15,0,4,4,0,0,FIELD GOAL,FIELD GOAL,,,31,OPP
3,0,42,3,7,0,3,SHOTGUN,PASS,SHORT MIDDLE,,34,OPP
3,1,23,2,10,0,3,UNDER CENTER,RUSH,,LEFT TACKLE,37,OPP
3,2,8,1,10,0,0,UNDER CENTER,PASS,SHORT RIGHT,,37,OPP
1,11,21,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,11,31,1,10,1,35,UNDER CENTER,PASS,DEEP RIGHT,,35,OPP
2,14,55,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,15,0,1,10,1,44,SHOTGUN,PASS,DEEP LEFT,,44,OPP
1,0,25,2,2,1,5,SHOTGUN,RUSH,,RIGHT END,49,OPP
4,2,47,1,10,0,3,SHOTGUN,RUSH,,LEFT GUARD,36,OPP
4,14,13,3,11,0,-3,SHOTGUN,SACK,,,16,OPP
4,14,20,2,11,0,0,UNDER CENTER,PASS,DEEP LEFT,,16,OPP
